id	event_name	main_title	created_at	last_updated_at	closed_at	status	source_count	importance_score	publish_status	failure_reason	failure_details	attempt_count	first_attempt_at	last_attempt_at	recovered	attempts_before_success	attempt_history
27009	Gay Hockey Drama 'Heated Rivalry' Becomes Hit	Gay hockey drama 'Heated Rivalry' becomes hit in Russia, but fandom could lead to prison	2026-02-01 11:24:11.233203+00	2026-02-01 11:26:46.430693+00		active	1	750	published			1	2026-02-01 11:26:22.488695+00	2026-02-01 11:26:46.130139+00	FALSE		[{"at": "2026-02-01T11:26:22.488695", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:26:46.130139", "reason": null, "status": "published", "attempt": 1}]
27008	Airlines Are Being Forced Into Huge, Hourslong	Airlines are being forced into huge, hourslong diversions to avoid flying over Iran &mdash; with some planes even needing to refuel	2026-02-01 11:24:10.796178+00	2026-02-01 11:26:18.081253+00		active	1	750	published			1	2026-02-01 11:25:50.165358+00	2026-02-01 11:26:17.780724+00	FALSE		[{"at": "2026-02-01T11:25:50.165358", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:26:17.780724", "reason": null, "status": "published", "attempt": 1}]
27007	Iran On Edge: Explosions, Diplomacy, And Trump’S	Iran on Edge: Explosions, Diplomacy, and Trump’s Next Move	2026-02-01 11:24:10.376857+00	2026-02-01 11:25:45.610217+00		active	1	750	published			1	2026-02-01 11:25:18.255466+00	2026-02-01 11:25:45.309261+00	FALSE		[{"at": "2026-02-01T11:25:18.255466", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:25:45.309261", "reason": null, "status": "published", "attempt": 1}]
27006	Ukraine Peace Talks Delayed After Russia And	Ukraine Peace Talks Delayed After Russia and U.S. Meet	2026-02-01 11:24:07.467851+00	2026-02-01 11:24:47.727+00		active	1	750	published			1	2026-02-01 11:24:14.20644+00	2026-02-01 11:24:46.980063+00	FALSE		[{"at": "2026-02-01T11:24:14.206440", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:24:46.980063", "reason": null, "status": "published", "attempt": 1}]
27005	Girls At Elite Prep School Threatened In	Girls at elite prep school threatened in 'revenge porn blast' as parents shell out $63k a year to attend	2026-02-01 11:14:29.352642+00	2026-02-01 11:20:42.689278+00		active	1	750	published			1	2026-02-01 11:20:16.062369+00	2026-02-01 11:20:42.409568+00	FALSE		[{"at": "2026-02-01T11:20:16.062369", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:20:42.409568", "reason": null, "status": "published", "attempt": 1}]
27004	Trump’S Immigration Crackdown Means More Children Detained	Trump’s immigration crackdown means more children detained by ICE	2026-02-01 11:14:28.956439+00	2026-02-01 11:20:11.836277+00		active	1	750	published			1	2026-02-01 11:19:41.188035+00	2026-02-01 11:20:11.548829+00	FALSE		[{"at": "2026-02-01T11:19:41.188035", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:20:11.548829", "reason": null, "status": "published", "attempt": 1}]
27003	The Minneapolis Police Chief Tried To Repair	The Minneapolis police chief tried to repair his force. Can it survive ICE?	2026-02-01 11:14:27.975796+00	2026-02-01 11:19:39.040589+00		active	1	750	published			1	2026-02-01 11:18:57.233808+00	2026-02-01 11:19:38.74463+00	FALSE		[{"at": "2026-02-01T11:18:57.233808", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:19:38.744630", "reason": null, "status": "published", "attempt": 1}]
27002	Prime Minister Takaichi Cancels Tv Debate Due	Prime Minister Takaichi cancels TV debate due to hand injury	2026-02-01 11:14:27.579739+00	2026-02-01 11:18:55.29122+00		active	1	750	published			1	2026-02-01 11:18:30.287237+00	2026-02-01 11:18:54.975264+00	FALSE		[{"at": "2026-02-01T11:18:30.287237", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:18:54.975264", "reason": null, "status": "published", "attempt": 1}]
27001	Medics Arrive For Djokovic After Third Set	Medics arrive for Djokovic after third set	2026-02-01 11:14:27.160332+00	2026-02-01 11:18:30.200315+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-02-01 11:18:12.131181+00	2026-02-01 11:18:29.921595+00	FALSE		[{"at": "2026-02-01T11:18:12.131181", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:18:29.921595", "reason": "no_content", "status": "failed", "attempt": 1}]
27000	Man United Vs Fulham Live: Michael Carrick	Man United vs Fulham live: Michael Carrick aims to continue winning run in Premier League	2026-02-01 11:14:26.209494+00	2026-02-01 11:16:32.746919+00		active	1	750	failed	verification_failed	Failed fact verification after 3 attempts	1	2026-02-01 11:16:00.223167+00	2026-02-01 11:16:31.818294+00	FALSE		[{"at": "2026-02-01T11:16:00.223167", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:16:31.818294", "reason": "verification_failed", "status": "failed", "attempt": 1}]
26999	Polanski Condemns Starmer’S ‘High On Drugs, Soft	Polanski condemns Starmer’s ‘high on drugs, soft on Putin’ jibe as ‘beneath the office of the prime minister’	2026-02-01 11:14:25.32259+00	2026-02-01 11:15:55.30132+00		active	1	750	published			1	2026-02-01 11:15:24.266622+00	2026-02-01 11:15:54.988649+00	FALSE		[{"at": "2026-02-01T11:15:24.266622", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:15:54.988649", "reason": null, "status": "published", "attempt": 1}]
26998	In The World'S Driest Desert, Chile Freezes	In the world's driest desert, Chile freezes its future to protect plants	2026-02-01 11:14:23.623384+00	2026-02-01 11:15:19.190503+00		active	2	750	published			1	2026-02-01 11:14:32.840316+00	2026-02-01 11:15:18.82684+00	FALSE		[{"at": "2026-02-01T11:14:32.840316", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:15:18.826840", "reason": null, "status": "published", "attempt": 1}]
26997	'Trust Has Been Eroded': Trump'S Nato Troop	'Trust has been eroded': Trump's NATO troop remarks have shaken allied veterans	2026-02-01 11:04:14.177051+00	2026-02-01 11:08:56.602524+00		active	1	750	published			1	2026-02-01 11:08:33.300835+00	2026-02-01 11:08:56.278693+00	FALSE		[{"at": "2026-02-01T11:08:33.300835", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:08:56.278693", "reason": null, "status": "published", "attempt": 1}]
26996	See The Full 'Snow Moon' Chill In	See the full 'Snow Moon' chill in the eastern sky at sunset tonight	2026-02-01 11:04:13.243539+00	2026-02-01 11:08:31.330145+00		active	1	750	published			1	2026-02-01 11:08:11.070437+00	2026-02-01 11:08:31.030122+00	FALSE		[{"at": "2026-02-01T11:08:11.070437", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:08:31.030122", "reason": null, "status": "published", "attempt": 1}]
26995	Stellar Nursery Bursts With Newborn Stars In	Stellar nursery bursts with newborn stars in hauntingly beautiful Hubble telescope image — Space photo of the week	2026-02-01 11:04:12.81747+00	2026-02-01 11:08:09.204101+00		active	1	750	published			1	2026-02-01 11:07:46.796795+00	2026-02-01 11:08:08.894836+00	FALSE		[{"at": "2026-02-01T11:07:46.796795", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:08:08.894836", "reason": null, "status": "published", "attempt": 1}]
26994	An American Citizen Has Been Stuck In	An American Citizen Has Been Stuck in El Salvador’s Prison System Since the Biden Administration	2026-02-01 11:04:11.890902+00	2026-02-01 11:07:44.874256+00		active	1	750	published			1	2026-02-01 11:07:03.87544+00	2026-02-01 11:07:44.568814+00	FALSE		[{"at": "2026-02-01T11:07:03.875440", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:07:44.568814", "reason": null, "status": "published", "attempt": 1}]
26993	Pla Navy Warns Off Foreign Jets With	PLA Navy warns off foreign jets with jamming missiles near Taiwan: CCTV	2026-02-01 11:04:10.894212+00	2026-02-01 11:06:59.341938+00		active	1	750	published			1	2026-02-01 11:06:28.050552+00	2026-02-01 11:06:59.044382+00	FALSE		[{"at": "2026-02-01T11:06:28.050552", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T11:06:59.044382", "reason": null, "status": "published", "attempt": 1}]
26992	Modi'S India Boosts Infra Spending, Seeks Manufacturing-Led	Modi's India boosts infra spending, seeks manufacturing-led growth	2026-02-01 10:54:32.212849+00	2026-02-01 10:55:37.090231+00		active	1	750	published			1	2026-02-01 10:55:10.940221+00	2026-02-01 10:55:36.78534+00	FALSE		[{"at": "2026-02-01T10:55:10.940221", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:55:36.785340", "reason": null, "status": "published", "attempt": 1}]
26991	Week In Pictures: From Israel’S Gaza Killings	Week in pictures: From Israel’s Gaza killings to Russian strikes in Ukraine	2026-02-01 10:54:28.386313+00	2026-02-01 10:55:06.596519+00		active	1	750	published			1	2026-02-01 10:54:33.582503+00	2026-02-01 10:55:06.294132+00	FALSE		[{"at": "2026-02-01T10:54:33.582503", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:55:06.294132", "reason": null, "status": "published", "attempt": 1}]
26990	Escaped Kangaroo Blocks Virginia Highway After Being	Escaped kangaroo blocks Virginia highway after being chased by hunting dogs, officials say	2026-02-01 10:44:08.092569+00	2026-02-01 10:46:46.833911+00		active	1	750	published			1	2026-02-01 10:46:21.862597+00	2026-02-01 10:46:46.517887+00	FALSE		[{"at": "2026-02-01T10:46:21.862597", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:46:46.517887", "reason": null, "status": "published", "attempt": 1}]
26989	The Information Networks That Connect Venezuelans In	The Information Networks That Connect Venezuelans in Uncertain Times	2026-02-01 10:44:07.658753+00	2026-02-01 10:46:21.77021+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-02-01 10:46:03.31287+00	2026-02-01 10:46:21.459671+00	FALSE		[{"at": "2026-02-01T10:46:03.312870", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:46:21.459671", "reason": "no_content", "status": "failed", "attempt": 1}]
26988	Costco Faces Lawsuit Over Its Iconic $4.99	Costco Faces Lawsuit Over Its Iconic $4.99 Rotisserie Chicken. It All Comes Down to 1 Word	2026-02-01 10:44:06.656318+00	2026-02-01 10:46:03.219718+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-02-01 10:45:55.834547+00	2026-02-01 10:46:02.890477+00	FALSE		[{"at": "2026-02-01T10:45:55.834547", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:46:02.890477", "reason": "no_content", "status": "failed", "attempt": 1}]
26987	Alcaraz Topples Djokovic Serve	Alcaraz topples Djokovic serve	2026-02-01 10:44:05.655209+00	2026-02-01 11:04:10.633929+00		active	3	750	published			1	2026-02-01 10:45:17.596619+00	2026-02-01 10:45:53.591284+00	FALSE		[{"at": "2026-02-01T10:45:17.596619", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:45:53.591284", "reason": null, "status": "published", "attempt": 1}]
26986	Major Incident Declared And Patients Evacuated After	Major incident declared and patients evacuated after fire at University Hospital Southampton	2026-02-01 10:44:04.112553+00	2026-02-01 11:24:08.326698+00		active	3	750	published			1	2026-02-01 10:44:55.997388+00	2026-02-01 10:45:15.280141+00	FALSE		[{"at": "2026-02-01T10:44:55.997388", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:45:15.280141", "reason": null, "status": "published", "attempt": 1}]
26985	Indonesia Lifts Ban On Grok After New	Indonesia Lifts Ban on Grok After New Assurances From X Corp	2026-02-01 10:44:02.9728+00	2026-02-01 10:44:53.823975+00		active	1	750	published			1	2026-02-01 10:44:10.943523+00	2026-02-01 10:44:53.518389+00	FALSE		[{"at": "2026-02-01T10:44:10.943523", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:44:53.518389", "reason": null, "status": "published", "attempt": 1}]
26984	Uk Minister Calls Latest Image Of Andrew	UK minister calls latest image of Andrew ‘very disturbing’ and urges him to testify – UK politics live	2026-02-01 10:34:24.999008+00	2026-02-01 10:37:34.57894+00		active	1	750	published			1	2026-02-01 10:37:04.055938+00	2026-02-01 10:37:34.263057+00	FALSE		[{"at": "2026-02-01T10:37:04.055938", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-02-01T10:37:34.263057", "reason": null, "status": "published", "attempt": 1}]
