id	event_name	main_title	created_at	last_updated_at	closed_at	status	source_count	importance_score	publish_status	failure_reason	failure_details	attempt_count	first_attempt_at	last_attempt_at	recovered	attempts_before_success	attempt_history
24346	Republicans, Democrats Debate Dhs Funding As Partial	Republicans, Democrats debate DHS funding as partial government shutdown deadline approaches	2026-01-29 14:17:14.069134+00	2026-01-29 14:17:14.248493+00		active	1	750	pending			0			FALSE		[]
24345	Exclusive: Senate Bill Targets Minnesota-Style ‘Runaway Fraud’	EXCLUSIVE: Senate bill targets Minnesota-style ‘runaway fraud’ to force scammers repay taxpayers	2026-01-29 14:17:09.35133+00	2026-01-29 14:17:16.115097+00		active	1	750	pending			0			FALSE		[]
24344	Senate To Vote On Advancing Funding Bills	Senate to vote on advancing funding bills as Democrats push for ICE reforms	2026-01-29 14:17:06.245706+00	2026-01-29 14:22:34.530021+00		active	1	750	processing			0	2026-01-29 14:22:34.00535+00	2026-01-29 14:22:34.00535+00	FALSE		[{"at": "2026-01-29T14:22:34.005350", "reason": null, "status": "processing", "attempt": 1}]
24343	Canadian Tribal Land Is Completely Locked Down	Canadian tribal land is completely locked down after mass shooting that caused multiple fatalities	2026-01-29 14:17:04.411588+00	2026-01-29 14:22:33.751352+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:22:12.062744+00	2026-01-29 14:22:33.215839+00	FALSE		[{"at": "2026-01-29T14:22:12.062744", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:22:33.215839", "reason": "no_content", "status": "failed", "attempt": 1}]
24342	Labour Could Pay 'Basic' Salaries To Workers	Labour could pay 'basic' salaries to workers whose jobs are wiped out by 'bumpy' introduction of AI, business minister says	2026-01-29 14:17:02.430884+00	2026-01-29 14:22:11.97706+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:22:04.789744+00	2026-01-29 14:22:11.66794+00	FALSE		[{"at": "2026-01-29T14:22:04.789744", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:22:11.667940", "reason": "no_content", "status": "failed", "attempt": 1}]
24341	Scientists Found A Way To Cool Quantum	Scientists found a way to cool quantum computers using noise	2026-01-29 14:16:59.859085+00	2026-01-29 14:22:04.70607+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:21:48.874559+00	2026-01-29 14:22:04.396977+00	FALSE		[{"at": "2026-01-29T14:21:48.874559", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:22:04.396977", "reason": "no_image", "status": "failed", "attempt": 1}]
24340	The Mystery Woman Behind 45,000 Llcs	The Mystery Woman Behind 45,000 LLCs	2026-01-29 14:16:57.589715+00	2026-01-29 14:21:46.824948+00		active	1	750	published			1	2026-01-29 14:21:19.49722+00	2026-01-29 14:21:46.505544+00	FALSE		[{"at": "2026-01-29T14:21:19.497220", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:21:46.505544", "reason": null, "status": "published", "attempt": 1}]
24339	Us Working On Plan To ‘Draw Down’	US working on plan to ‘draw down’ number of ICE agents in Minneapolis, border tsar says	2026-01-29 14:16:55.811055+00	2026-01-29 14:21:17.042392+00		active	1	750	published			1	2026-01-29 14:20:43.922864+00	2026-01-29 14:21:16.704464+00	FALSE		[{"at": "2026-01-29T14:20:43.922864", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:21:16.704464", "reason": null, "status": "published", "attempt": 1}]
24338	Gm Is Epitomizing The U.S. Auto Industry'S	GM is epitomizing the U.S. auto industry's profit, politics balancing act under Trump	2026-01-29 14:16:53.788703+00	2026-01-29 14:20:43.803771+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:20:36.59822+00	2026-01-29 14:20:43.36978+00	FALSE		[{"at": "2026-01-29T14:20:36.598220", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:20:43.369780", "reason": "no_content", "status": "failed", "attempt": 1}]
24337	Uk And 23 Other Osce Members Launch	UK and 23 other OSCE members launch probe into Georgia rights concerns	2026-01-29 14:16:51.817298+00	2026-01-29 14:20:36.404857+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:20:24.364762+00	2026-01-29 14:20:35.951452+00	FALSE		[{"at": "2026-01-29T14:20:24.364762", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:20:35.951452", "reason": "no_image", "status": "failed", "attempt": 1}]
24336	International Baby Milk Recall Leads To French	International baby milk recall leads to French legal action	2026-01-29 14:16:49.914097+00	2026-01-29 14:20:22.168847+00		active	1	750	published			1	2026-01-29 14:19:57.107403+00	2026-01-29 14:20:21.864328+00	FALSE		[{"at": "2026-01-29T14:19:57.107403", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:20:21.864328", "reason": null, "status": "published", "attempt": 1}]
24335	Greenland Update As Us Anticipates &#039;Total, Unfettered	Greenland Update as US Anticipates &#039;Total, Unfettered Access&#039;	2026-01-29 14:16:48.082313+00	2026-01-29 14:19:52.226187+00		active	1	750	published			1	2026-01-29 14:19:25.034555+00	2026-01-29 14:19:51.924804+00	FALSE		[{"at": "2026-01-29T14:19:25.034555", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:19:51.924804", "reason": null, "status": "published", "attempt": 1}]
24334	No More Drunken Sailors As Uk Navy	No more drunken sailors as UK navy sobers up alcohol policy	2026-01-29 14:16:44.025173+00	2026-01-29 14:18:47.740747+00		active	1	750	published			1	2026-01-29 14:18:19.913045+00	2026-01-29 14:18:47.419154+00	FALSE		[{"at": "2026-01-29T14:18:19.913045", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:18:47.419154", "reason": null, "status": "published", "attempt": 1}]
24333	Heavy Gunfire And Explosions Heard Around International	Heavy gunfire and explosions heard around international airport in reported ‘terrorist attack’	2026-01-29 14:16:42.205399+00	2026-01-29 14:18:05.510492+00		active	1	750	published			1	2026-01-29 14:17:38.960652+00	2026-01-29 14:18:05.191705+00	FALSE		[{"at": "2026-01-29T14:17:38.960652", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:18:05.191705", "reason": null, "status": "published", "attempt": 1}]
24332	Council Leader Resigns After Election Postponement	Council leader resigns after election postponement	2026-01-29 14:16:40.175077+00	2026-01-29 14:17:38.849259+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:17:24.581678+00	2026-01-29 14:17:38.527627+00	FALSE		[{"at": "2026-01-29T14:17:24.581678", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:17:38.527627", "reason": "no_image", "status": "failed", "attempt": 1}]
24331	Palestinians Crowded Into Gaza Tents Struggle To	Palestinians crowded into Gaza tents struggle to see a better future even as ceasefire moves forward	2026-01-29 14:07:24.430708+00	2026-01-29 14:18:11.080755+00		active	1	750	published			1	2026-01-29 14:16:13.96519+00	2026-01-29 14:18:10.751084+00	FALSE		[{"at": "2026-01-29T14:16:13.965190", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:18:10.751084", "reason": null, "status": "published", "attempt": 1}]
24330	Thousands Of Iphone Apps Expose Data Inside	Thousands of iPhone apps expose data inside Apple App Store	2026-01-29 14:07:21.651559+00	2026-01-29 14:15:28.484321+00		active	1	750	published			1	2026-01-29 14:14:22.202356+00	2026-01-29 14:15:28.160369+00	FALSE		[{"at": "2026-01-29T14:14:22.202356", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:15:28.160369", "reason": null, "status": "published", "attempt": 1}]
24329	The Only Person To Win An Olympic	The only person to win an Olympic medal and a Nobel Peace Prize	2026-01-29 14:07:19.995333+00	2026-01-29 14:14:19.859585+00		active	1	750	published			1	2026-01-29 14:13:41.810984+00	2026-01-29 14:14:19.51095+00	FALSE		[{"at": "2026-01-29T14:13:41.810984", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:14:19.510950", "reason": null, "status": "published", "attempt": 1}]
24328	Satellite Sees River Flow Across The Globe	Satellite sees river flow across the globe | Space photo of the day for Jan. 29, 2025	2026-01-29 14:07:18.311554+00	2026-01-29 14:13:41.716555+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:13:23.590577+00	2026-01-29 14:13:41.394809+00	FALSE		[{"at": "2026-01-29T14:13:23.590577", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:13:41.394809", "reason": "no_image", "status": "failed", "attempt": 1}]
24327	A Massive Clump Of Dark Matter May	A massive clump of dark matter may lurk in the Milky Way	2026-01-29 14:07:16.640551+00	2026-01-29 14:13:23.505352+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:13:02.086997+00	2026-01-29 14:13:23.202827+00	FALSE		[{"at": "2026-01-29T14:13:02.086997", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:13:23.202827", "reason": "no_content", "status": "failed", "attempt": 1}]
24326	China Rolls Out The Red Carpet For	China rolls out the red carpet for Keir Starmer	2026-01-29 14:07:14.464395+00	2026-01-29 14:13:01.996219+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:12:48.860822+00	2026-01-29 14:13:01.655208+00	FALSE		[{"at": "2026-01-29T14:12:48.860822", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:13:01.655208", "reason": "no_image", "status": "failed", "attempt": 1}]
24325	Apple Says Patreon Creators Must Switch To	Apple says Patreon creators must switch to subscription billing by November	2026-01-29 14:07:12.920999+00	2026-01-29 14:12:48.77221+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:12:35.521575+00	2026-01-29 14:12:48.44142+00	FALSE		[{"at": "2026-01-29T14:12:35.521575", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:12:48.441420", "reason": "no_image", "status": "failed", "attempt": 1}]
24324	Morgan Stanley Expects China’S Humanoid Robot Sales	Morgan Stanley expects China’s humanoid robot sales to double in revised forecast	2026-01-29 14:07:10.954104+00	2026-01-29 14:12:31.13464+00		active	1	750	published			1	2026-01-29 14:12:11.337917+00	2026-01-29 14:12:30.823901+00	FALSE		[{"at": "2026-01-29T14:12:11.337917", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:12:30.823901", "reason": null, "status": "published", "attempt": 1}]
24323	Do Americans Think China Will Overtake The	Do Americans think China will overtake the US? The results of a survey are in	2026-01-29 14:07:09.199732+00	2026-01-29 14:12:08.762458+00		active	1	750	published			1	2026-01-29 14:11:46.105697+00	2026-01-29 14:12:08.455635+00	FALSE		[{"at": "2026-01-29T14:11:46.105697", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:12:08.455635", "reason": null, "status": "published", "attempt": 1}]
24322	Gold Tops $5,500, Silver Rises While Powell	Gold tops $5,500, silver rises while Powell downplays metal rally	2026-01-29 14:07:05.371736+00	2026-01-29 14:11:41.436803+00		active	1	750	published			1	2026-01-29 14:11:11.745067+00	2026-01-29 14:11:41.115567+00	FALSE		[{"at": "2026-01-29T14:11:11.745067", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:11:41.115567", "reason": null, "status": "published", "attempt": 1}]
