id	cluster_id	title_news	summary_bullets_news	timeline	details	graph	map	components	category	emoji	version_number	view_count	created_at	last_updated_at	published_at	components_order	num_sources	source	url	image_url	image_source	image_score	ai_final_score	five_ws	source_titles	interest_tags	image_ai_generated	image_background_color
12588	27009	**Gay Hockey Drama** Sparks Underground Hit in **Russia**	["**Heated Rivalry** becomes word-of-mouth sensation despite **LGBTQ** content being banned as extremist", "Russian fans risk **12 years** in prison for publicly supporting show about rival hockey players", "**Putin's** traditional values crackdown labels LGBTQ movement extremist organization since **2023**"]	[{"date": "December 2022", "event": "Russia broadened its law banning LGBTQ \"propaganda\" to include any expression of LGBTQ relationships in media, online, or in public, severely restricting LGBTQ visibility."}, {"date": "November 2023", "event": "Russia's Supreme Court declared the \"international LGBT public movement\" an extremist organization, effectively outlawing LGBTQ activism and organizations within the country."}, {"date": "February 2024", "event": "Reports emerge of Russian fans risking severe penalties, including potential prison sentences, for supporting an underground hit show featuring a gay hockey drama, highlighting the risks."}]	[{"label": "Fine for LGBTQ propaganda", "value": "400,000 rubles"}, {"label": "Age rating", "value": "18+"}, {"label": "LGBTQ groups banned", "value": "dozens since 2023"}]				Entertainment	📰	1	0	2026-02-01 11:26:46.027055+00	2026-02-01 11:26:46.027055+00	2026-02-01 11:26:45.921657+00	["details"]	1	NBC News	https://www.nbcnews.com/world/russia/russia-heated-rivalry-gay-romance-lgtbq-hockey-jail-putin-pride-rcna256337	https://media-cldnry.s-nbcnews.com/image/upload/t_fit_1500w/rockcms/2023-11/231117-russia-gay-rights-mjf-1000-05ee5a.jpg	NBC News	84	770	{"who": "**Russian fans**, **Putin** government", "why": "**Supreme Court** banned LGBTQ as extremist organization", "what": "Underground popularity of gay hockey drama **Heated Rivalry**", "when": "Current, following **November 2023** LGBTQ ban", "where": "**Russia**, particularly **Moscow**"}	[{"title": "Gay hockey drama 'Heated Rivalry' becomes hit in Russia, but fandom could lead to prison", "source": "NBC News"}]	["russia", "lgbtq", "vladimir putin", "hockey", "censorship", "entertainment", "political crackdown"]	FALSE	
12587	27008	**Airlines** Force **11-Hour** Diversions to Avoid Iran	["**European** carriers reroute flights from **Middle East**, requiring fuel stops in **Greece** and **Cyprus**", "**Eurowings** flight from **Dubai** makes **2 stopovers** before reaching Stuttgart **11 hours** late", "**Budget airlines** most affected by longer routes avoiding **Iranian** and **Iraqi** airspace restrictions"]		[{"label": "Maximum flight time", "value": "15 hours"}, {"label": "Detour distance", "value": "800 miles"}, {"label": "Passengers affected", "value": "300 people"}]		[{"city": "Tehran", "name": "Tehran Imam Khomeini International Airport", "type": "transport", "country": "Iran", "coordinates": {"lat": 32.0, "lng": 51.0}, "description": "Airport avoided by airlines due to airspace restrictions"}]		Business	📰	1	0	2026-02-01 11:26:17.656519+00	2026-02-01 11:26:17.656519+00	2026-02-01 11:26:17.557323+00	["details","map"]	1	Business Insider	https://www.businessinsider.com/european-airlines-make-hourslong-diversions-to-avoid-iranian-airspace-2026-2	https://i.insider.com/697b57a3a645d118818837ba?format=jpeg	Business Insider	80	865	{"who": "**European airlines**, **Eurowings**, **Wizz Air**", "why": "Avoiding **Iranian** and **Iraqi** airspace for safety", "what": "Massive flight diversions requiring **fuel stops**", "when": "**Sunday** onwards, ongoing precautionary measure", "where": "Routes from **Dubai** to **Europe** via **Greece**"}	[{"title": "Airlines are being forced into huge, hourslong diversions to avoid flying over Iran &mdash; with some planes even needing to refuel", "source": "Business Insider"}]	["airlines", "flight diversions", "iran", "middle east", "eurowings", "european airlines", "air travel", "travel"]	FALSE	
12586	27007	**Iran** Faces Explosions as **Trump** Strike Tensions Rise	["Explosions rock **Iranian** cities including **Bandar Abbas** port, targeting suspected **IRGC** facilities", "**Qatar's** foreign minister meets **Iran** officials as **Turkey** mediates uranium transfer negotiations", "**Israeli** army chief warns potential **US** attack could happen within **2 weeks** to **2 months**"]		[{"label": "Uranium enrichment", "value": "60 percent purity"}, {"label": "IAEA inspections", "value": "27 cameras installed"}, {"label": "Sanctions relief", "value": "$7 billion released"}]		[{"city": "Bandar Abbas", "name": "Bandar Abbas Shahid Rajaee Port", "type": "transport", "country": "Iran", "coordinates": {"lat": 27.1434, "lng": 56.2592}, "description": "Major Iranian port city where explosions targeted suspected IRGC facilities"}]		World	📰	1	0	2026-02-01 11:25:45.194974+00	2026-02-01 11:25:45.194974+00	2026-02-01 11:25:45.09664+00	["map","details"]	1	Euronews	http://www.euronews.com/2026/02/01/iran-on-edge-explosions-diplomacy-and-trumps-next-move	https://images.euronews.com/articles/stories/09/63/43/49/1200x675_cmsv2_5ec4f93c-0609-5a35-8807-be3a7ba071ec-9634349.jpg	Euronews	69	895	{"who": "**Iran**, **Trump**, **Qatar** foreign minister", "why": "Escalating **US-Iran** tensions, diplomatic intervention", "what": "Explosions hit cities amid **US** strike tensions", "when": "Recent days, **2-week** to **2-month** timeframe", "where": "**Bandar Abbas**, multiple **Iranian** cities"}	[{"title": "Iran on Edge: Explosions, Diplomacy, and Trump’s Next Move", "source": "Euronews"}]	["iran", "donald trump", "explosions", "irgc", "qatar", "turkey", "middle east", "international relations"]	FALSE	
12585	26824	**Fire** Rips Through **London** Nursery, 60 Firefighters Respond	["Massive blaze engulfs **Rushey Green Nursery** in **Catford**, sending thick smoke billowing into air", "**London Fire Brigade** deploys **8 fire engines** and **60 firefighters** after **6:40pm** Saturday alert", "Fire controlled after **3 hours**, no injuries reported as investigation begins into cause of blaze"]		[{"label": "Response time", "value": "6 minutes"}, {"label": "Fire engines", "value": "8 deployed"}, {"label": "Hours to control", "value": "3 hours"}]		[{"city": "London", "name": "Rushey Green Children's Nursery", "type": "building", "country": "United Kingdom", "coordinates": {"lat": 51.4433, "lng": 0.0203}, "description": "Nursery in Catford, London, that was damaged by a fire on Saturday evening."}]		World	📰	1	0	2026-02-01 11:25:16.065754+00	2026-02-01 11:25:16.065754+00	2026-02-01 11:25:15.966353+00	["map","details"]	2	Daily Mail Home	https://www.dailymail.co.uk/news/article-15516593/Huge-blaze-breaks-London-nursery-dozens-firefighters-battle-flames-smoke-billows-air.html?ns_mchannel=rss&ns_campaign=1490&ito=1490	https://i.dailymail.co.uk/1s/2026/02/01/00/106002501-0-image-a-2_1769905506912.jpg	Daily Mail Home	69	830	{"who": "**London Fire Brigade**, **60 firefighters**", "why": "Cause unknown, **investigation underway**", "what": "Major fire at **Rushey Green Nursery**", "when": "**Saturday evening**, reported at **6:40pm**", "where": "**Catford**, **Lewisham**, London"}	[{"title": "Huge blaze breaks out at London nursery as dozens of firefighters battle flames and thick smoke billows into the air", "source": "Daily Mail Home"}, {"title": "Fire rips through London nursery as dozens of firefighters tackle blaze", "source": "The Independent"}]	["london", "fire", "firefighters", "london fire brigade", "rushey green nursery", "catford", "emergency services", "uk news"]	FALSE	
12584	27006	**Ukraine Peace Talks** Delayed After **US-Russia** Meeting	["**Trilateral talks** in **Abu Dhabi** postponed to **Wednesday-Thursday** after surprise bilateral meeting", "**Trump envoy Witkoff** meets **Russian negotiator Dmitriev** in **Florida** without Ukrainian presence", "Delay raises questions about coordination as **Zelensky** awaits details from **US** on next steps"]	[{"date": "February 2014", "event": "Russia annexed Crimea from Ukraine following a pro-Russian uprising and military intervention, escalating tensions and leading to international condemnation and sanctions."}, {"date": "February 2022", "event": "Russia launched a full-scale military invasion of Ukraine, marking a major escalation of the conflict that began in 2014 and causing widespread destruction and displacement."}]	[{"label": "Talks postponed", "value": "2 days"}, {"label": "Conflict began", "value": "10 years ago"}, {"label": "Meeting attendees", "value": "2 envoys"}]		[{"city": "Abu Dhabi", "name": "Abu Dhabi National Exhibition Centre", "type": "venue", "country": "United Arab Emirates", "coordinates": {"lat": 24.4195, "lng": 54.4067}, "description": "A potential location for the trilateral peace talks between the US, Russia, and Ukraine."}]		World	📰	1	0	2026-02-01 11:24:46.781287+00	2026-02-01 11:24:46.781287+00	2026-02-01 11:24:46.678979+00	["timeline","map","details"]	1	The New York Times Europe	https://www.nytimes.com/2026/02/01/world/europe/ukraine-russia-us-peace-talks.html	https://static01.nyt.com/images/2026/02/01/multimedia/01int-ukraine-talks-01-pwtf/01int-ukraine-talks-01-pwtf-mediumSquareAt3X.jpg	The New York Times Europe	100	905	{"who": "**Ukraine**, **Russia**, **US** negotiators", "why": "**US-Russia** meeting held without **Ukrainian** participation", "what": "**Peace talks** postponed for several days", "when": "Moved from **Sunday** to **Wednesday-Thursday**", "where": "**Abu Dhabi**, **UAE** (bilateral meeting in **Florida**)"}	[{"title": "Ukraine Peace Talks Delayed After Russia and U.S. Meet", "source": "The New York Times Europe"}]	["ukraine", "russia", "us", "peace talks", "donald trump", "zelensky", "international relations", "politics"]	FALSE	
12583	27005	**Ex-Teacher** Gets **7 Years** for Revenge Porn Threats	["**Winston Nguyen** threatened **2 girls** with 'revenge porn blast' after coercing nude photos when they were **13**", "Former **Saint Ann's School** teacher pleaded guilty to felony charges and now serves **7-year** prison sentence", "Federal lawsuit targets **$63K-per-year** Brooklyn prep school for failing to act despite warning signs"]	[{"date": "Ongoing", "event": "A federal lawsuit has been filed against Saint Ann's School, alleging the institution failed to take appropriate action despite being aware of warning signs."}, {"date": "Recent", "event": "Winston Nguyen, a former teacher at Saint Ann's School, has been sentenced to 7 years in prison after pleading guilty to felony charges related to revenge porn threats."}]	[{"label": "School tuition", "value": "$63,000 per year"}, {"label": "Victims' age", "value": "13 years old"}, {"label": "Sentence length", "value": "7 years"}]				Politics	📰	1	0	2026-02-01 11:20:42.313461+00	2026-02-01 11:20:42.313461+00	2026-02-01 11:20:42.215362+00	["details"]	1	Fox News Latest	https://www.foxnews.com/us/girls-elite-prep-school-threatened-revenge-porn-blast-parents-shell-out-63k-year-attend	https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2026/01/931/523/nyc-private-school-perv-jeopardy-fox-news.jpg?ve=1&tl=1	Fox News Latest	69	780	{"who": "**Winston Nguyen**, **2 teenage victims**, **Saint Ann's School**", "why": "School allegedly ignored repeated warning signs about teacher's behavior", "what": "Revenge porn threats after soliciting nude photos from **13-year-olds**", "when": "Sentenced **last year**, lawsuit filed **Thursday**", "where": "**Saint Ann's School**, Brooklyn private school"}	[{"title": "Girls at elite prep school threatened in 'revenge porn blast' as parents shell out $63k a year to attend", "source": "Fox News Latest"}]	["revenge porn", "winston nguyen", "saint ann's school", "brooklyn", "crime", "lawsuit", "sexual abuse", "new york"]	FALSE	
12582	27004	**ICE** Detains Young **Children** in Immigration Raids	["Immigration officers detain **5-year-old** boy returning from preschool and **2-year-old** girl in **Minneapolis**", "**ICE** breaks family car window during arrest, targeting children as young as **2 years old** in operations", "**Trump's** immigration crackdown leads to surge in child detentions, sparking concerns over enforcement tactics"]		[{"label": "ICE budget", "value": "$8.4 billion"}, {"label": "Detention facilities", "value": "200+ nationwide"}, {"label": "Annual deportations", "value": "142,952 in 2023"}]		[{"city": "Bloomington", "name": "Immigration and Customs Enforcement (ICE) Office", "type": "building", "country": "USA", "coordinates": {"lat": 44.8604, "lng": -93.2643}, "description": "Office of ICE in Bloomington, near Minneapolis, where immigration raids were reportedly conducted."}]		Politics	📰	1	0	2026-02-01 11:20:11.468504+00	2026-02-01 11:20:11.468504+00	2026-02-01 11:20:11.37475+00	["details","map"]	1	Washington Post National	https://www.washingtonpost.com/immigration/2026/02/01/trump-immigration-children-families-detention/	https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/5GSDO6JCZT3TTJUQEDSG4WVU5U_size-normalized.jpg&w=1440	Washington Post National	99	865	{"who": "**ICE** officers, **children** as young as **2**", "why": "**Trump's** expanded immigration enforcement crackdown", "what": "Detaining young children during immigration raids", "when": "**Late last month**, ongoing operations", "where": "**Minneapolis**, **San Antonio** area"}	[{"title": "Trump’s immigration crackdown means more children detained by ICE", "source": "Washington Post National"}]	["ice", "immigration", "child detention", "minneapolis", "trump administration", "immigration raids", "politics", "enforcement tactics"]	FALSE	
12581	27003	**Minneapolis Police Chief** Addresses Force Challenges	["Chief **Brian O'Hara** speaks to newest officers about **extraordinary challenges** facing the department", "Force struggles with aftermath of **George Floyd** murder, riots, and federal investigation findings", "Department faces **plummeting morale**, mass departures, and **civil rights abuses** detailed in probe"]	[{"date": "May 2020", "event": "George Floyd was murdered by Minneapolis police officer Derek Chauvin, sparking nationwide protests against police brutality and racial injustice, and leading to calls for police reform."}, {"date": "March 2023", "event": "The Department of Justice released a scathing report detailing a pattern of civil rights abuses by the Minneapolis Police Department, including excessive force and discriminatory policing practices."}, {"date": "November 2022", "event": "Brian O'Hara was appointed as the new Minneapolis Police Chief, tasked with addressing the department's challenges, including low morale, staffing shortages, and implementing reforms mandated by the DOJ."}]	[{"label": "Police budget", "value": "$200 million"}, {"label": "Officers authorized", "value": "888 sworn"}, {"label": "City population", "value": "429,954 residents"}]				Politics	📰	1	0	2026-02-01 11:19:38.649712+00	2026-02-01 11:19:38.649712+00	2026-02-01 11:19:38.538873+00	["details"]	1	Washington Post National	https://www.washingtonpost.com/nation/2026/02/01/minneapolis-police-ice-killings-reform/	https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7JBEFFPI36OVZNRM4LW64MNELA.JPG&w=1440	Washington Post National	99	780	{"who": "**Minneapolis Police Chief Brian O'Hara**, new officers", "why": "**George Floyd** murder aftermath, morale issues, federal probe", "what": "Addressing **extraordinary challenges** facing force", "when": "**Last week**, during officer address", "where": "**Minneapolis** police department"}	[{"title": "The Minneapolis police chief tried to repair his force. Can it survive ICE?", "source": "Washington Post National"}]	["minneapolis police department", "brian o'hara", "police chief", "george floyd", "police brutality", "civil rights", "law enforcement", "minneapolis"]	FALSE	
12580	27002	**Japan PM Takaichi** Skips **TV Debate** Due to Hand Injury	["**Liberal Democratic Party** leader cancels **75-minute NHK** debate with opposition party leaders", "**Hand injury** sustained during campaign trail forces **Sunday morning** withdrawal from broadcast", "Absence impacts **Feb. 8** general election coverage for crucial **House of Representatives** race"]	[{"date": "October 2021", "event": "Fumio Kishida became Prime Minister of Japan after winning the Liberal Democratic Party (LDP) leadership election, succeeding Yoshihide Suga."}, {"date": "July 2023", "event": "The LDP faced criticism and declining approval ratings due to controversies surrounding My Number card system and rising living costs."}, {"date": "February 2024", "event": "Japan's PM Takaichi withdraws from a scheduled TV debate due to a hand injury sustained during campaign, impacting election coverage."}]	[{"label": "Election cycles", "value": "3 year term"}, {"label": "House seats", "value": "465 total"}, {"label": "Governing coalition", "value": "2 parties"}]				Politics	📰	1	0	2026-02-01 11:18:54.866765+00	2026-02-01 11:18:54.866765+00	2026-02-01 11:18:54.77486+00	["details"]	1	The Japan Times	https://www.japantimes.co.jp/news/2026/02/01/japan/politics/hand-injury-forces-takaichi-to-cancel-tv-debate/	https://www.japantimes.co.jp/japantimes/uploads/images/2026/02/01/520604.jpg	The Japan Times	84	780	{"who": "**PM Sanae Takaichi**, **LDP** leader", "why": "**Hand injury** from **Feb. 8** election campaign trail", "what": "Cancels **NHK** television debate appearance", "when": "**Sunday morning**, **9 a.m.** program", "where": "**Japan Broadcasting Corp** (**NHK**)"}	[{"title": "Prime Minister Takaichi cancels TV debate due to hand injury", "source": "The Japan Times"}]	["japan", "prime minister", "sanae takaichi", "liberal democratic party", "tv debate", "hand injury", "politics", "election"]	FALSE	
12579	26388	**Euronews** Releases **Daily** News Bulletins Coverage	["**Euronews** publishes **multiple** daily news bulletins covering **morning**, **midday**, and **evening** slots", "Coverage spans **January 31st** through **February 1st, 2026** with **video** format news programming", "**Regular** scheduling provides **continuous** news updates across **European** time zones for viewers"]		[{"label": "Bulletins per day", "value": "3 daily"}, {"label": "Days of coverage", "value": "2 days"}, {"label": "Years until coverage", "value": "2 years"}]				Entertainment	📰	1	0	2026-02-01 11:18:09.958944+00	2026-02-01 11:18:09.958944+00	2026-02-01 11:18:09.843105+00	["details"]	5	Euronews	http://www.euronews.com/video/2026/01/31/latest-news-bulletin-january-31st-2026-evening	https://sdhdylsfngiybvoltoks.supabase.co/storage/v1/object/public/generated/20260201_111740_20260201_111740.png	AI Generated	100	710	{"who": "**Euronews** media organization", "why": "**Regular** news programming schedule", "what": "Publishing **daily** news bulletin coverage", "when": "**January 31st** - **February 1st, 2026**", "where": "**European** news network"}	[{"title": "Latest news bulletin | January 31st, 2026 – Evening", "source": "Euronews"}, {"title": "Latest news bulletin | January 31st, 2026 – Midday", "source": "Euronews"}, {"title": "Latest news bulletin | January 31st, 2026 – Morning", "source": "Euronews"}, {"title": "Latest news bulletin | February 1st, 2026 – Morning", "source": "Euronews"}, {"title": "Latest news bulletin | February 1st, 2026 – Midday", "source": "Euronews"}]	["euronews", "news bulletins", "daily news", "european news", "video news", "media", "news programming"]	TRUE	forest green
12578	26999	**Green Leader Polanski** Slams Starmer's **Putin** Jibe	["**Zack Polanski** condemns PM's **'high on drugs, soft on Putin'** attack as beneath prime minister's office", "**Starmer** targeted **Green Party** leader during **PMQs** over drug legalization and **NATO** stance last month", "Polanski calls PM **'subservient to Trump'** while criticizing jokes about **Russia** as **'pretty vile'**"]	[{"date": "February 2022", "event": "Russia launched a full-scale invasion of Ukraine, leading to widespread international condemnation and sanctions, significantly impacting global politics and security."}, {"date": "March 2024", "event": "Starmer criticized the Green Party's stance on NATO and drug legalization during PMQs, highlighting policy differences and challenging their credibility on national security."}, {"date": "April 2024", "event": "Polanski condemned Starmer's 'high on drugs, soft on Putin' attack as beneath the office of prime minister, escalating tensions between the Green Party and Labour."}]	[{"label": "Green Party MPs", "value": "1 in Parliament"}, {"label": "UK inflation rate", "value": "3.2 percent"}, {"label": "Years as MEP", "value": "5 for Polanski"}]				Politics	📰	1	0	2026-02-01 11:15:54.883488+00	2026-02-01 11:15:54.883488+00	2026-02-01 11:15:54.795242+00	["details"]	1	The Independent	https://www.independent.co.uk/news/uk/politics/zack-polanski-starmer-pmqs-putin-b2911669.html	https://sdhdylsfngiybvoltoks.supabase.co/storage/v1/object/public/generated/20260201_111536_20260201_111536.png	AI Generated	100	770	{"who": "**Green Party** leader **Zack Polanski**, PM **Starmer**", "why": "Starmer attacked **drug legalization** and **NATO** positions", "what": "Condemns **'high on drugs, soft on Putin'** PMQs attack", "when": "Following **October** PMQs exchange, recent **BBC** interview", "where": "**UK Parliament**, **BBC Sunday** programme"}	[{"title": "Polanski condemns Starmer’s ‘high on drugs, soft on Putin’ jibe as ‘beneath the office of the prime minister’", "source": "The Independent"}]	["zack polanski", "keir starmer", "green party", "uk politics", "russia", "nato", "political attack", "pmqs"]	TRUE	light navy blue
12577	26998	**Chile** Builds **Seed Bank** in World's Driest Desert	["**Initihuasi Seed Bank** preserves Chile's flora in **-4°F** freezers deep in **Atacama Desert** hillside", "Researcher **Ana Sandoval** leads **decade-long** effort at earthquake-proof facility near **Vicuña** town", "Remote location protects biodiversity from **wars** and catastrophes as part of **nationwide** network"]		[{"label": "Chile flora", "value": "4,655 species"}, {"label": "Endemic plants", "value": "46 percent"}, {"label": "Effort duration", "value": "10 years"}]		[{"city": "Vicuña", "name": "Initihuasi Seed Bank", "type": "building", "country": "Chile", "coordinates": {"lat": -30.0333, "lng": -70.7167}, "description": "Location of seed bank preserving Chile's flora in the Atacama Desert"}]		Science	📰	1	0	2026-02-01 11:15:18.661225+00	2026-02-01 11:15:18.661225+00	2026-02-01 11:15:18.499865+00	["map","details"]	1	NPR World	https://www.npr.org/2026/02/01/nx-s1-5647760/chile-seeds-climate-change-plants	https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6000x4000+0+0/resize/6000x4000!/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F18%2F15%2F32e30b0a43859c7a7181b79670d4%2Fseeds.jpeg	NPR World	84	820	{"who": "**Ana Sandoval**, **Initihuasi Seed Bank** researchers", "why": "Protect biodiversity from **wars** and catastrophes", "what": "Preserving **Chile's flora** in frozen seed storage", "when": "**Decade-long** operation, ongoing preservation", "where": "**Atacama Desert**, near **Vicuña**, Chile"}	[{"title": "In the world's driest desert, Chile freezes its future to protect plants", "source": "NPR World"}]	["chile", "seed bank", "atacama desert", "biodiversity", "conservation", "ana sandoval", "environment", "science"]	FALSE	
